airport_code,airport_name,city,timezone,longitude,latitude
UKX,"{""en"": ""Ust-Kut Airport"", ""ru"": ""Усть-Кут""}","{""en"": ""Ust-Kut"", ""ru"": ""Усть-Кут""}",Asia/Irkutsk,(105.730003356933594,56.8567008972167969)
GDZ,"{""en"": ""Gelendzhik Airport"", ""ru"": ""Геленджик""}","{""en"": ""Gelendzhik"", ""ru"": ""Геленджик""}",Europe/Moscow,(38.012480735799997,44.5820926295000035)
IAR,"{""en"": ""Tunoshna Airport"", ""ru"": ""Туношна""}","{""en"": ""Yaroslavl"", ""ru"": ""Ярославль""}",Europe/Moscow,(40.1573982238769531,57.560699462890625)
NBC,"{""en"": ""Begishevo Airport"", ""ru"": ""Бегишево""}","{""en"": ""Nizhnekamsk"", ""ru"": ""Нижнекамск""}",Europe/Moscow,(52.092498779296875,55.5647010803222656)
ULV,"{""en"": ""Ulyanovsk Baratayevka Airport"", ""ru"": ""Баратаевка""}","{""en"": ""Ulyanovsk"", ""ru"": ""Ульяновск""}",Europe/Samara,(48.2266998291000064,54.2682991027999932)
SWT,"{""en"": ""Strezhevoy Airport"", ""ru"": ""Стрежевой""}","{""en"": ""Strezhevoy"", ""ru"": ""Стрежевой""}",Asia/Krasnoyarsk,(77.66000366210001,60.7094001769999991)
EYK,"{""en"": ""Beloyarskiy Airport"", ""ru"": ""Белоярский""}","{""en"": ""Beloyarsky"", ""ru"": ""Белоярский""}",Asia/Yekaterinburg,(66.6986007689999951,63.6869010924999941)
KLF,"{""en"": ""Grabtsevo Airport"", ""ru"": ""Калуга""}","{""en"": ""Kaluga"", ""ru"": ""Калуга""}",Europe/Moscow,(36.3666687011999983,54.5499992371000033)
RGK,"{""en"": ""Gorno-Altaysk Airport"", ""ru"": ""Горно-Алтайск""}","{""en"": ""Gorno-Altaysk"", ""ru"": ""Горно-Алтайск""}",Asia/Krasnoyarsk,(85.8332977295000035,51.9667015075999998)
KRR,"{""en"": ""Krasnodar Pashkovsky International Airport"", ""ru"": ""Краснодар""}","{""en"": ""Krasnodar"", ""ru"": ""Краснодар""}",Europe/Moscow,(39.1705017089839984,45.0346984863279971)
MCX,"{""en"": ""Uytash Airport"", ""ru"": ""Уйташ""}","{""en"": ""Makhachkala"", ""ru"": ""Махачкала""}",Europe/Moscow,(47.6523017883300781,42.8167991638183594)
KZN,"{""en"": ""Kazan International Airport"", ""ru"": ""Казань""}","{""en"": ""Kazan"", ""ru"": ""Казань""}",Europe/Moscow,(49.278701782227003,55.606201171875)
REN,"{""en"": ""Orenburg Central Airport"", ""ru"": ""Оренбург-Центральный""}","{""en"": ""Orenburg"", ""ru"": ""Оренбург""}",Asia/Yekaterinburg,(55.4566993713378906,51.7957992553710938)
UFA,"{""en"": ""Ufa International Airport"", ""ru"": ""Уфа""}","{""en"": ""Ufa"", ""ru"": ""Уфа""}",Asia/Yekaterinburg,(55.8744010925289984,54.5574989318850001)
OVB,"{""en"": ""Tolmachevo Airport"", ""ru"": ""Толмачёво""}","{""en"": ""Novosibirsk"", ""ru"": ""Новосибирск""}",Asia/Novosibirsk,(82.6507034301759944,55.012599945067997)
CEE,"{""en"": ""Cherepovets Airport"", ""ru"": ""Череповец""}","{""en"": ""Cherepovets"", ""ru"": ""Череповец""}",Europe/Moscow,(38.0158004761000043,59.2736015320000007)
OMS,"{""en"": ""Omsk Central Airport"", ""ru"": ""Омск-Центральный""}","{""en"": ""Omsk"", ""ru"": ""Омск""}",Asia/Omsk,(73.3105010986328125,54.9669990539550781)
ROV,"{""en"": ""Rostov-on-Don Airport"", ""ru"": ""Ростов-на-Дону""}","{""en"": ""Rostov"", ""ru"": ""Ростов-на-Дону""}",Europe/Moscow,(39.8180999755999991,47.2582015990999977)
AER,"{""en"": ""Sochi International Airport"", ""ru"": ""Сочи""}","{""en"": ""Sochi"", ""ru"": ""Сочи""}",Europe/Moscow,(39.9566001892089986,43.4499015808110016)
VOG,"{""en"": ""Volgograd International Airport"", ""ru"": ""Гумрак""}","{""en"": ""Volgograd"", ""ru"": ""Волгоград""}",Europe/Volgograd,(44.3455009460449219,48.782501220703125)
BQS,"{""en"": ""Ignatyevo Airport"", ""ru"": ""Игнатьево""}","{""en"": ""Blagoveschensk"", ""ru"": ""Благовещенск""}",Asia/Yakutsk,(127.412002563476562,50.4253997802734375)
GDX,"{""en"": ""Sokol Airport"", ""ru"": ""Магадан""}","{""en"": ""Magadan"", ""ru"": ""Магадан""}",Asia/Magadan,(150.720001220703125,59.9109992980957031)
HTA,"{""en"": ""Chita-Kadala Airport"", ""ru"": ""Чита""}","{""en"": ""Chita"", ""ru"": ""Чита""}",Asia/Chita,(113.305999999999997,52.0262990000000016)
BTK,"{""en"": ""Bratsk Airport"", ""ru"": ""Братск""}","{""en"": ""Bratsk"", ""ru"": ""Братск""}",Asia/Irkutsk,(101.697998046875,56.3706016540527344)
IKT,"{""en"": ""Irkutsk Airport"", ""ru"": ""Иркутск""}","{""en"": ""Irkutsk"", ""ru"": ""Иркутск""}",Asia/Irkutsk,(104.388999938959998,52.2680015563960012)
UUD,"{""en"": ""Ulan-Ude Airport (Mukhino)"", ""ru"": ""Байкал""}","{""en"": ""Ulan-ude"", ""ru"": ""Улан-Удэ""}",Asia/Irkutsk,(107.438003540039062,51.80780029296875)
MMK,"{""en"": ""Murmansk Airport"", ""ru"": ""Мурманск""}","{""en"": ""Murmansk"", ""ru"": ""Мурманск""}",Europe/Moscow,(32.7508010864257812,68.7817001342773438)
ABA,"{""en"": ""Abakan Airport"", ""ru"": ""Абакан""}","{""en"": ""Abakan"", ""ru"": ""Абакан""}",Asia/Krasnoyarsk,(91.3850021362304688,53.7400016784667969)
BAX,"{""en"": ""Barnaul Airport"", ""ru"": ""Барнаул""}","{""en"": ""Barnaul"", ""ru"": ""Барнаул""}",Asia/Krasnoyarsk,(83.5384979248046875,53.363800048828125)
AAQ,"{""en"": ""Anapa Vityazevo Airport"", ""ru"": ""Витязево""}","{""en"": ""Anapa"", ""ru"": ""Анапа""}",Europe/Moscow,(37.3473014831539984,45.002101898192997)
CNN,"{""en"": ""Chulman Airport"", ""ru"": ""Чульман""}","{""en"": ""Neryungri"", ""ru"": ""Нерюнгри""}",Asia/Yakutsk,(124.914001464839998,56.9138984680179973)
